address;label;tr_btc;balance_btc;balance_usd;first_tr;last_tr;n_tr;time;ts;ts_finish;exchange_rate;tr_profit;cum_profit;cohort;last_block;changed
19bc9CesQQYspJsq6tCwt2oGfwGH17QMuK;;220.14740118;300.0;6316875.0;2022-06-21 05:55:01 UTC;2022-06-21 05:55:01 UTC;2;2022-06-21 06:00:00 UTC;1655787600;;21056.25;58172.61824037;58172.61824037;b;741678;False
19eoC3mZG69W55VfdRTBmAHv9eLTwE6bAv;;144.25912435;300.0;17951025.0;2021-11-16 19:17:04 UTC;2021-11-16 19:17:04 UTC;2;2021-11-16 20:00:00 UTC;1637089200;;59836.75;-631741.05835163;-631741.05835163;b;710023;False
19jQg2B4qBvum8Rqyti5PLBEsvWM7hmFw;;200.80336839;300.0;13063755.0;2022-02-16 15:44:27 UTC;2022-02-16 15:44:27 UTC;2;2022-02-16 16:00:00 UTC;1645023600;;43545.85;-5187.9838332;-5187.9838332;b;723617;False
19nBB8zbGmZbQwjzBi7nGrEA3XnSnPkthy;;200.0;200.0;6058070.0;2023-07-17 07:27:55 UTC;2023-07-17 07:27:55 UTC;1;2023-07-17 08:00:00 UTC;1689577200;;30290.35;0.0;0.0;b;799052;False
19tjRWqkwyXjrBJNAtwnn7UZGQCgtMckpp;;28.7875655;300.0;5117409.0;2022-11-30 20:56:16 UTC;2022-11-30 20:56:16 UTC;2;2022-11-30 21:00:00 UTC;1669838400;;17058.03;329794.320352;329794.320352;b;765357;False
19vdJaKMvP4rX1G9dtam2XKRKoecmxqh7y;;25.0;215.0;9311204.95;2024-01-04 12:49:09 UTC;2024-01-04 12:49:09 UTC;5;2024-01-04 13:00:00 UTC;1704369600;;43307.93;256596.9;322802.3;b;824316;False
19wmG6Lc68crYfwvHTJFKaiXUZhzj3MD3X;;190.17531556;300.0;6003210.0;2022-06-29 06:37:33 UTC;2022-06-29 06:37:33 UTC;2;2022-06-29 07:00:00 UTC;1656482400;;20010.7;-86426.53542006;-86426.53542006;b;742808;False
19wp1HRSf2FoyEanZsrAb82fnHyzPvfFnL;;216.98027541;300.0;11551452.0;2022-02-02 09:14:36 UTC;2022-02-02 09:14:36 UTC;2;2022-02-02 10:00:00 UTC;1643792400;;38504.84;-20199.52918999;-20199.52918999;b;721470;False
1AModEJSYa8cA6evPQcnWK292F1WAXoVty;;1000.0;1000.0;50017390.0;2024-02-12 23:16:54 UTC;2024-02-12 23:16:54 UTC;1;2024-02-13 00:00:00 UTC;1707778800;;50017.39;0.0;0.0;c;830203;False
1ARgJGQgJE8nZ8ryBqxnFvuEvgSAPJQWjM;;0.0003996;200.0;3365306.0;2022-11-15 21:00:07 UTC;2022-11-15 21:00:07 UTC;2;2022-11-15 22:00:00 UTC;1668546000;;16826.53;0.0;0.0;b;763330;False
1Abw7TCVoE6Jpp4HStSUeCEC8vFd1gVzLK;;100.0;360.0;16496420.4;2021-02-28 23:09:52 UTC;2021-02-28 23:09:52 UTC;4;2021-03-01 00:00:00 UTC;1614553200;;45823.39;-1476693.4;-446945.8;b;672621;False
1AeZaQgdEhcy6vZjtxJzhmQQPfk3CFQgxe;;28.96672391;300.0;14003451.0;2021-12-17 13:50:40 UTC;2021-12-17 13:50:40 UTC;2;2021-12-17 14:00:00 UTC;1639746000;;46678.17;-647758.68852406;-647758.68852406;b;714530;False
1Aha4QMyXCgqPkAqFfTbTCES5m8aCdgzmW;;28.9221551;300.0;14720439.0;2021-12-16 09:34:19 UTC;2021-12-16 09:34:19 UTC;2;2021-12-16 10:00:00 UTC;1639645200;;49068.13;177124.97463611;177124.97463611;b;714379;False
1AiDrYj8g2sgXWf5o87n6bvNe6ZjuE3P9Y;;495.0;495.0;13218296.85;2023-09-19 00:07:54 UTC;2023-09-19 00:07:54 UTC;1;2023-09-19 01:00:00 UTC;1695081600;;26703.63;0.0;0.0;b;808356;False
1Amyfnhh5gid1LX8Yirh3qGMa5Wtu3TUHu;;278.12058168;300.0;9085935.0;2022-06-02 16:05:52 UTC;2022-06-02 16:05:52 UTC;2;2022-06-02 17:00:00 UTC;1654185600;;30286.45;6830.31681114;6830.31681114;b;739007;False
1AqgftLgrp3JCkLbqzVPgvdohB3bpJqNC;;50.55025821;300.0;17036169.0;2021-12-03 13:27:28 UTC;2021-12-03 13:27:28 UTC;2;2021-12-03 14:00:00 UTC;1638536400;;56787.23;127144.53339036;127144.53339036;b;712390;False
1AxUVkVQDjGBctxJtTWKkgBYWTY8v55PBk;;1999.99;2000.0;68592820.0;2023-10-24 13:44:55 UTC;2023-10-24 13:44:55 UTC;2;2023-10-24 14:00:00 UTC;1698152400;;34296.41;4.1461;4.1461;c;813637;False
